source,target_preferred,status,category,source_id,confidence,source_document,term_type,alternate_targets
ABS,ABS,approved,abbreviation.brakes,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
DTC,DTC,approved,abbreviation.diagnostics,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
OBD,OBD,approved,abbreviation.diagnostics,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
ECU,ЭБУ,approved,abbreviation.electrical,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
BDC,НМТ,approved,abbreviation.engine,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
TDC,ВМТ,approved,abbreviation.engine,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
ATF,ATF,approved,abbreviation.fluids,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
VIN,VIN,approved,abbreviation.vehicle,VOLGA_PILOT,high,VOLGA_PILOT,abbreviation,
adaptive cruise control,адаптивный круиз-контроль,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
advanced driver assistance system,усовершенствованная система помощи водителю,candidate,adas,UNECE_ADS,medium,UNECE_ADS,term,
automated lane keeping system,автоматизированная система удержания в полосе,candidate,adas,UNECE_ADS,medium,UNECE_ADS,term,
automated valet parking,автоматизированная парковка без водителя,candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
automatic emergency braking,автоматическое экстренное торможение,candidate,adas,UNECE_ADS,medium,UNECE_ADS,term,
blind spot detection,контроль слепых зон,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
drivable area,"область, доступная для движения",candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
driver availability recognition system,система распознавания готовности водителя,candidate,adas,UNECE_ADS,medium,UNECE_ADS,term,
driver monitoring system,система контроля состояния водителя,candidate,adas,UNECE_ADS,medium,UNECE_ADS,term,
forward collision warning,предупреждение о фронтальном столкновении,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
lane departure warning,предупреждение о выходе из полосы,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
lane keeping assistance,помощь в удержании полосы,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
object classification,классификация объектов,candidate,adas,ASAM_OPENX,high,ASAM_OPENX,term,
parking manoeuvre,парковочный манёвр,candidate,adas,ASAM_OPENX,high,ASAM_OPENX,term,
perception stack,стек восприятия окружающей обстановки,candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
post-encroachment time,время после пересечения конфликтной точки,candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
sensor fusion,комплексирование данных датчиков,candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
time headway,временной интервал следования,candidate,adas,ASAM_OPENX,medium,ASAM_OPENX,term,
time to collision,время до столкновения,candidate,adas,ASAM_OPENX,high,ASAM_OPENX,term,
traffic sign recognition,распознавание дорожных знаков,candidate,adas,COVESA_VSS_6,medium,COVESA_VSS_6,term,
vulnerable road user,уязвимый участник дорожного движения,candidate,adas,UNECE_ADS,high,UNECE_ADS,term,
align the dowel pins,совместить установочные штифты,candidate,assembly,EDITORIAL_CORE_2026,high,EDITORIAL_CORE_2026,term,
