source,target_preferred,status,category,source_id,confidence,source_document,term_type
accumulator,аккумулятор,candidate,ambiguous,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
hydraulic accumulator,гидроаккумулятор,reviewed,hydraulics,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
refrigerant accumulator,аккумулятор хладагента,reviewed,hvac,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
assist grip,поручень салона,reviewed,interior.trim,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
bearing puller,съёмник подшипников,reviewed,tools,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,tool
bleed screw,штуцер для удаления воздуха,reviewed,hydraulics,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
body gateway module,центральный шлюзовой модуль кузовной электроники,reviewed,electrical,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,module
brake booster,вакуумный усилитель тормозов,reviewed,brakes,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
check for leakage,проверить на наличие утечек,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
clutch release bearing,подшипник выключения сцепления,reviewed,clutch,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
crankpin,шатунная шейка коленчатого вала,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
cylinder bore,цилиндр цилиндрового блока,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
diesel particulate filter,сажевый фильтр дизельного двигателя,reviewed,exhaust,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
do not reuse,не использовать повторно,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,warning
drill out the spot welds,высверлить точки контактной сварки,reviewed,body.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
front compartment harness assembly,жгут проводов моторного отсека в сборе,reviewed,electrical,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,assembly
fuel pump module,модуль топливного насоса,reviewed,fuel,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,assembly
fuel return line,топливопровод обратной подачи,reviewed,fuel,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
fuel supply line,топливопровод подачи топлива,reviewed,fuel,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
grind,шлифовать,deprecated,ambiguous.action,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,ambiguous
grind the weld,зачистить сварной шов,reviewed,body.repair,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
grind the surface,шлифовать поверхность,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
hydraulic lash adjuster,гидрокомпенсатор зазора клапана,reviewed,engine,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
inspect,проверить,reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
install in the reverse order of removal,"установить в порядке, обратном снятию",reviewed,service.procedure,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,procedure
intake air duct,воздуховод впускной системы,reviewed,intake,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
lumbar support,поясничная опора,reviewed,interior.seat,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,component
maximum load,максимально допустимая нагрузка,reviewed,safety,EDITORIAL_RESOLUTION,high,EDITORIAL_RESOLUTION,parameter
