source,target_preferred,status,category,source_id,confidence
electric shock,поражение электрическим током,candidate,safety,N165_D2_CORPUS,high
electrical equipment,электрооборудование,candidate,safety,N165_D2_CORPUS,high
faulty equipment,неисправное оборудование,candidate,safety,N165_D2_CORPUS,high
working area,рабочая зона,candidate,safety,N165_D2_CORPUS,high
mobile electrical equipment,переносное электрооборудование,candidate,safety,N165_D2_CORPUS,high
dry insulating material,сухой изоляционный материал,candidate,safety,N165_D2_CORPUS,high
turn off the power supply,отключить питание,candidate,safety,N165_D2_CORPUS,high
request medical assistance,вызвать медицинскую помощь,candidate,safety,N165_D2_CORPUS,high
waste gas,отработавшие газы,candidate,safety,N165_D2_CORPUS,medium
exhaust ventilation equipment,оборудование вытяжной вентиляции,candidate,safety,N165_D2_CORPUS,high
general ventilation equipment,общеобменная вентиляция,candidate,safety,N165_D2_CORPUS,high
open space,открытое пространство,candidate,safety,N165_D2_CORPUS,high
carbon monoxide,оксид углерода,candidate,safety,N165_D2_CORPUS,high
nitrogen oxide,оксиды азота,candidate,safety,N165_D2_CORPUS,high
aromatic hydrocarbons,ароматические углеводороды,candidate,safety,N165_D2_CORPUS,high
fibrous material,волокнистый материал,candidate,safety,N165_D2_CORPUS,high
sharp edge,острая кромка,candidate,safety,N165_D2_CORPUS,high
skin irritation,раздражение кожи,candidate,safety,N165_D2_CORPUS,high
skin allergy,аллергическая реакция кожи,candidate,safety,N165_D2_CORPUS,high
avoid excessive skin contact,избегать длительного контакта с кожей,candidate,safety,N165_D2_CORPUS,high
fire hazard,пожароопасность,candidate,safety,N165_D2_CORPUS,high
highly flammable material,легковоспламеняющийся материал,candidate,safety,N165_D2_CORPUS,high
flammable solvent,легковоспламеняющийся растворитель,candidate,safety,N165_D2_CORPUS,high
fire safety requirements,требования пожарной безопасности,candidate,safety,N165_D2_CORPUS,high
suitable fire extinguisher,подходящий огнетушитель,candidate,safety,N165_D2_CORPUS,high
welding operation,сварочная операция,candidate,safety,N165_D2_CORPUS,high
heating equipment,нагревательное оборудование,candidate,safety,N165_D2_CORPUS,high
first aid,первая помощь,candidate,safety,N165_D2_CORPUS,high
eyewash equipment,устройство для промывания глаз,candidate,safety,N165_D2_CORPUS,high
rinse with water,промыть водой,candidate,safety,N165_D2_CORPUS,high
contaminated area,загрязнённый участок,candidate,safety,N165_D2_CORPUS,high
fresh air area,зона с чистым воздухом,candidate,safety,N165_D2_CORPUS,high
seek medical attention,обратиться за медицинской помощью,candidate,safety,N165_D2_CORPUS,high
do not induce vomiting,не вызывать рвоту,candidate,safety,N165_D2_CORPUS,high
cured foam,отверждённая пена,candidate,materials,N165_D2_CORPUS,high
uncured foam,неотверждённая пена,candidate,materials,N165_D2_CORPUS,high
foam pad,пенополиуретановая прокладка,candidate,materials,N165_D2_CORPUS,medium
vapor and spray,пары и аэрозоль,candidate,safety,N165_D2_CORPUS,high
respiratory protection,средства защиты органов дыхания,candidate,safety,N165_D2_CORPUS,high
well-ventilated area,хорошо проветриваемая зона,candidate,safety,N165_D2_CORPUS,high
open flame,открытое пламя,candidate,safety,N165_D2_CORPUS,high
thermal cutting,термическая резка,candidate,service,N165_D2_CORPUS,high
fuel vapor,пары топлива,candidate,safety,N165_D2_CORPUS,high
