source,target_preferred,status,category,source_id,confidence
battery,аккумуляторная батарея,candidate,electrical,EDITORIAL_CORE_2026,high
battery case,корпус аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high
battery cell,аккумуляторный элемент,candidate,electrical,EDITORIAL_CORE_2026,high
battery terminal,клемма аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high
positive terminal,положительная клемма,candidate,electrical,EDITORIAL_CORE_2026,high
negative terminal,отрицательная клемма,candidate,electrical,EDITORIAL_CORE_2026,high
battery hold-down clamp,прижимная планка аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high
battery tray,поддон аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high
battery cable,провод аккумуляторной батареи,candidate,electrical,EDITORIAL_CORE_2026,high
state of charge,степень заряженности,candidate,electrical,EDITORIAL_CORE_2026,high
open-circuit voltage,напряжение холостого хода,candidate,electrical,EDITORIAL_CORE_2026,high
cranking voltage,напряжение при прокручивании,candidate,electrical,EDITORIAL_CORE_2026,medium
parasitic current draw,ток утечки при выключенном зажигании,candidate,electrical,EDITORIAL_CORE_2026,high
charging system,система зарядки,candidate,electrical,EDITORIAL_CORE_2026,high
alternator,генератор,candidate,electrical,EDITORIAL_CORE_2026,high
alternator pulley,шкив генератора,candidate,electrical,EDITORIAL_CORE_2026,high
voltage regulator,регулятор напряжения,candidate,electrical,EDITORIAL_CORE_2026,high
rectifier,выпрямитель,candidate,electrical,EDITORIAL_CORE_2026,high
stator winding,обмотка статора,candidate,electrical,EDITORIAL_CORE_2026,high
rotor winding,обмотка ротора,candidate,electrical,EDITORIAL_CORE_2026,high
slip ring,контактное кольцо,candidate,electrical,EDITORIAL_CORE_2026,high
carbon brush,угольная щётка,candidate,electrical,EDITORIAL_CORE_2026,high
starter motor,стартер,candidate,electrical,EDITORIAL_CORE_2026,high
starter solenoid,тяговое реле стартера,candidate,electrical,EDITORIAL_CORE_2026,high
starter drive,привод стартера,candidate,electrical,EDITORIAL_CORE_2026,medium
pinion gear,ведущая шестерня стартера,candidate,electrical,EDITORIAL_CORE_2026,medium
overrunning clutch,обгонная муфта,candidate,electrical,EDITORIAL_CORE_2026,high
ignition switch,выключатель зажигания,candidate,electrical,EDITORIAL_CORE_2026,high
start button,кнопка запуска двигателя,candidate,electrical,EDITORIAL_CORE_2026,high
main relay,главное реле,candidate,electrical,EDITORIAL_CORE_2026,high
