source,target_preferred,status,category,source_id,confidence
transmission housing,картер коробки передач,candidate,transmission,EDITORIAL_CORE_2026,high
bell housing,картер сцепления,candidate,transmission,EDITORIAL_CORE_2026,high
input shaft,первичный вал,candidate,transmission,EDITORIAL_CORE_2026,high
output shaft,вторичный вал,candidate,transmission,EDITORIAL_CORE_2026,high
countershaft,промежуточный вал,candidate,transmission,EDITORIAL_CORE_2026,high
main shaft,главный вал,candidate,transmission,EDITORIAL_CORE_2026,medium
lay shaft,промежуточный вал,candidate,transmission,EDITORIAL_CORE_2026,medium
gear set,комплект шестерён,candidate,transmission,EDITORIAL_CORE_2026,high
gear wheel,зубчатое колесо,candidate,transmission,EDITORIAL_CORE_2026,high
drive gear,ведущая шестерня,candidate,transmission,EDITORIAL_CORE_2026,high
driven gear,ведомая шестерня,candidate,transmission,EDITORIAL_CORE_2026,high
idler gear,промежуточная шестерня,candidate,transmission,EDITORIAL_CORE_2026,high
reverse idler gear,промежуточная шестерня заднего хода,candidate,transmission,EDITORIAL_CORE_2026,high
synchronizer,синхронизатор,candidate,transmission,EDITORIAL_CORE_2026,high
synchronizer hub,ступица синхронизатора,candidate,transmission,EDITORIAL_CORE_2026,high
synchronizer sleeve,муфта синхронизатора,candidate,transmission,EDITORIAL_CORE_2026,high
synchronizer ring,блокирующее кольцо синхронизатора,candidate,transmission,EDITORIAL_CORE_2026,high
baulk ring,блокирующее кольцо синхронизатора,candidate,transmission,EDITORIAL_CORE_2026,medium
shift fork,вилка переключения передач,candidate,transmission,EDITORIAL_CORE_2026,high
shift rail,шток переключения передач,candidate,transmission,EDITORIAL_CORE_2026,high
shift rod,тяга переключения передач,candidate,transmission,EDITORIAL_CORE_2026,medium
shift lever,рычаг переключения передач,candidate,transmission,EDITORIAL_CORE_2026,high
selector lever,селектор передач,candidate,transmission,EDITORIAL_CORE_2026,high
selector shaft,вал выбора передач,candidate,transmission,EDITORIAL_CORE_2026,high
detent ball,фиксирующий шарик,candidate,transmission,EDITORIAL_CORE_2026,high
detent spring,пружина фиксатора,candidate,transmission,EDITORIAL_CORE_2026,high
interlock mechanism,механизм блокировки,candidate,transmission,EDITORIAL_CORE_2026,high
gear backlash,боковой зазор в зацеплении,candidate,transmission,EDITORIAL_CORE_2026,high
shaft end play,осевой зазор вала,candidate,transmission,EDITORIAL_CORE_2026,high
bearing preload,предварительный натяг подшипника,candidate,transmission,EDITORIAL_CORE_2026,high
transmission oil,трансмиссионное масло,candidate,transmission,EDITORIAL_CORE_2026,high
transmission fluid,рабочая жидкость коробки передач,candidate,transmission,EDITORIAL_CORE_2026,medium
oil filler plug,пробка заливного отверстия,candidate,transmission,EDITORIAL_CORE_2026,high
oil drain plug,пробка сливного отверстия,candidate,transmission,EDITORIAL_CORE_2026,high
oil level plug,пробка контрольного отверстия уровня масла,candidate,transmission,EDITORIAL_CORE_2026,high
oil seal,сальник,candidate,transmission,EDITORIAL_CORE_2026,medium
shaft seal,манжетное уплотнение вала,candidate,transmission,EDITORIAL_CORE_2026,medium
clutch disc,ведомый диск сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch cover,кожух сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch pressure plate,нажимной диск сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
diaphragm spring,диафрагменная пружина,candidate,clutch,EDITORIAL_CORE_2026,high
clutch release fork,вилка выключения сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch release bearing,подшипник выключения сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch master cylinder,главный цилиндр привода сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch slave cylinder,рабочий цилиндр привода сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch pedal free play,свободный ход педали сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
clutch engagement point,точка включения сцепления,candidate,clutch,EDITORIAL_CORE_2026,medium
clutch judder,рывки при включении сцепления,candidate,clutch,EDITORIAL_CORE_2026,medium
clutch slip,пробуксовка сцепления,candidate,clutch,EDITORIAL_CORE_2026,high
flywheel,маховик,candidate,clutch,EDITORIAL_CORE_2026,high
dual-mass flywheel,двухмассовый маховик,candidate,clutch,EDITORIAL_CORE_2026,high
pilot bearing,направляющий подшипник первичного вала,candidate,clutch,EDITORIAL_CORE_2026,medium
torque converter housing,корпус гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
torque converter lock-up clutch,блокировочная муфта гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
stator,реактор гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
impeller,насосное колесо гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
turbine wheel,турбинное колесо гидротрансформатора,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
planetary gear set,планетарный ряд,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
sun gear,солнечная шестерня,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
planet gear,сателлит,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
planet carrier,водило,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
ring gear,коронная шестерня,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
clutch pack,пакет фрикционов,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
friction plate,фрикционный диск,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
steel plate,стальной диск,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
brake band,тормозная лента,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
valve body,гидроблок,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
control valve body,блок гидравлических клапанов,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
shift solenoid,электромагнитный клапан переключения передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
pressure control solenoid,электромагнитный клапан регулирования давления,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
line pressure,магистральное давление,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
transmission fluid temperature sensor,датчик температуры рабочей жидкости коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
transmission range sensor,датчик диапазона коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
manual valve,клапан ручного выбора диапазона,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
oil pan,поддон коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
oil strainer,маслоприёмный фильтр,candidate,automatic_transmission,EDITORIAL_CORE_2026,medium
transmission oil cooler,охладитель рабочей жидкости коробки передач,candidate,automatic_transmission,EDITORIAL_CORE_2026,high
mechatronic unit,мехатронный модуль,candidate,dct,EDITORIAL_CORE_2026,high
dual clutch,двойное сцепление,candidate,dct,EDITORIAL_CORE_2026,high
odd gear clutch,сцепление нечётных передач,candidate,dct,EDITORIAL_CORE_2026,medium
even gear clutch,сцепление чётных передач,candidate,dct,EDITORIAL_CORE_2026,medium
clutch actuator,исполнительный механизм сцепления,candidate,dct,EDITORIAL_CORE_2026,high
shift actuator,исполнительный механизм переключения передач,candidate,dct,EDITORIAL_CORE_2026,high
variator,вариатор,candidate,cvt,EDITORIAL_CORE_2026,high
primary pulley,ведущий шкив вариатора,candidate,cvt,EDITORIAL_CORE_2026,high
secondary pulley,ведомый шкив вариатора,candidate,cvt,EDITORIAL_CORE_2026,high
steel belt,стальной ремень вариатора,candidate,cvt,EDITORIAL_CORE_2026,high
push belt,толкающий ремень вариатора,candidate,cvt,EDITORIAL_CORE_2026,medium
pulley ratio,передаточное отношение шкивов,candidate,cvt,EDITORIAL_CORE_2026,medium
forward clutch,муфта переднего хода,candidate,cvt,EDITORIAL_CORE_2026,high
reverse brake,тормоз заднего хода,candidate,cvt,EDITORIAL_CORE_2026,high
differential,дифференциал,candidate,driveline,EDITORIAL_CORE_2026,high
differential carrier,корпус дифференциала,candidate,driveline,EDITORIAL_CORE_2026,medium
differential side gear,полуосевая шестерня дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high
differential pinion,сателлит дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high
pinion shaft,ось сателлитов,candidate,driveline,EDITORIAL_CORE_2026,high
ring gear,ведомая шестерня главной передачи,candidate,driveline,EDITORIAL_CORE_2026,medium
drive pinion,ведущая шестерня главной передачи,candidate,driveline,EDITORIAL_CORE_2026,high
final drive ratio,передаточное число главной передачи,candidate,driveline,EDITORIAL_CORE_2026,high
limited-slip differential,дифференциал повышенного трения,candidate,driveline,EDITORIAL_CORE_2026,high
differential lock,блокировка дифференциала,candidate,driveline,EDITORIAL_CORE_2026,high
transfer case,раздаточная коробка,candidate,driveline,EDITORIAL_CORE_2026,high
transfer case housing,картер раздаточной коробки,candidate,driveline,EDITORIAL_CORE_2026,high
low range,понижающий ряд,candidate,driveline,EDITORIAL_CORE_2026,high
high range,повышающий ряд,candidate,driveline,EDITORIAL_CORE_2026,medium
center differential,межосевой дифференциал,candidate,driveline,EDITORIAL_CORE_2026,high
viscous coupling,вязкостная муфта,candidate,driveline,EDITORIAL_CORE_2026,high
multi-plate clutch,многодисковая муфта,candidate,driveline,EDITORIAL_CORE_2026,high
propeller shaft,карданный вал,candidate,driveline,EDITORIAL_CORE_2026,high
universal joint,карданный шарнир,candidate,driveline,EDITORIAL_CORE_2026,high
center bearing,промежуточная опора карданного вала,candidate,driveline,EDITORIAL_CORE_2026,high
slip yoke,скользящая вилка,candidate,driveline,EDITORIAL_CORE_2026,medium
flange yoke,фланцевая вилка,candidate,driveline,EDITORIAL_CORE_2026,medium
drive shaft,приводной вал,candidate,driveline,EDITORIAL_CORE_2026,medium
half shaft,полуось,candidate,driveline,EDITORIAL_CORE_2026,high
constant velocity joint,шарнир равных угловых скоростей,candidate,driveline,EDITORIAL_CORE_2026,high
outer CV joint,наружный ШРУС,candidate,driveline,EDITORIAL_CORE_2026,medium
inner CV joint,внутренний ШРУС,candidate,driveline,EDITORIAL_CORE_2026,medium
