source,target_preferred,status,category,source_id,confidence
cooling system,система охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high
engine cooling system,система охлаждения двигателя,candidate,cooling,EDITORIAL_CORE_2026,high
coolant,охлаждающая жидкость,candidate,cooling,EDITORIAL_CORE_2026,high
engine coolant,охлаждающая жидкость двигателя,candidate,cooling,EDITORIAL_CORE_2026,high
coolant concentration,концентрация охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant mixture,смесь охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant pump,насос охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
water pump,насос охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,medium
radiator,радиатор,candidate,cooling,EDITORIAL_CORE_2026,high
radiator core,сердцевина радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
radiator tank,бачок радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
radiator cap,крышка радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
pressure cap,герметичная крышка системы охлаждения,candidate,cooling,EDITORIAL_CORE_2026,medium
expansion tank,расширительный бачок,candidate,cooling,EDITORIAL_CORE_2026,high
coolant reservoir,бачок охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
overflow tank,переливной бачок,candidate,cooling,EDITORIAL_CORE_2026,medium
thermostat,термостат,candidate,cooling,EDITORIAL_CORE_2026,high
thermostat housing,корпус термостата,candidate,cooling,EDITORIAL_CORE_2026,high
thermostat valve,клапан термостата,candidate,cooling,EDITORIAL_CORE_2026,high
bypass passage,обводной канал,candidate,cooling,EDITORIAL_CORE_2026,medium
coolant passage,канал охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant outlet,выходной патрубок охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,medium
coolant inlet,входной патрубок охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,medium
upper radiator hose,верхний шланг радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
lower radiator hose,нижний шланг радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
heater hose,шланг отопителя,candidate,cooling,EDITORIAL_CORE_2026,high
hose clamp,хомут шланга,candidate,cooling,EDITORIAL_CORE_2026,high
cooling fan,вентилятор системы охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high
radiator fan,вентилятор радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
fan shroud,кожух вентилятора,candidate,cooling,EDITORIAL_CORE_2026,high
fan motor,электродвигатель вентилятора,candidate,cooling,EDITORIAL_CORE_2026,high
fan control module,модуль управления вентилятором,candidate,cooling,EDITORIAL_CORE_2026,high
coolant temperature sensor,датчик температуры охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
engine coolant temperature sensor,датчик температуры охлаждающей жидкости двигателя,candidate,cooling,EDITORIAL_CORE_2026,high
coolant level sensor,датчик уровня охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant leak,утечка охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant seepage,просачивание охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,medium
air lock,воздушная пробка,candidate,cooling,EDITORIAL_CORE_2026,high
coolant circulation,циркуляция охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
coolant flow,поток охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
overheating,перегрев,candidate,cooling,EDITORIAL_CORE_2026,high
underheating,недостаточный прогрев,candidate,cooling,EDITORIAL_CORE_2026,medium
boiling point,температура кипения,candidate,cooling,EDITORIAL_CORE_2026,high
freezing point,температура замерзания,candidate,cooling,EDITORIAL_CORE_2026,high
cooling system pressure,давление в системе охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high
pressure test,проверка давлением,candidate,cooling,EDITORIAL_CORE_2026,high
pressure tester,прибор для проверки давления,candidate,cooling,EDITORIAL_CORE_2026,high
flush the cooling system,промыть систему охлаждения,candidate,cooling,EDITORIAL_CORE_2026,high
drain the coolant,слить охлаждающую жидкость,candidate,cooling,EDITORIAL_CORE_2026,high
