source,target_preferred,status,category,source_id,confidence
wheel,колесо,candidate,wheels_tires,EDITORIAL_CORE_2026,high
road wheel,дисковое колесо,candidate,wheels_tires,EDITORIAL_CORE_2026,medium
wheel rim,обод колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
alloy wheel,легкосплавное колесо,candidate,wheels_tires,EDITORIAL_CORE_2026,high
steel wheel,стальное колесо,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel disc,диск колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel hub,ступица колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel bearing,подшипник ступицы колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel stud,шпилька колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel bolt,колёсный болт,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel nut,колёсная гайка,candidate,wheels_tires,EDITORIAL_CORE_2026,high
locking wheel nut,секретная колёсная гайка,candidate,wheels_tires,EDITORIAL_CORE_2026,medium
wheel cover,колёсный колпак,candidate,wheels_tires,EDITORIAL_CORE_2026,high
center cap,центральный колпачок колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel offset,вылет колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
rim width,ширина обода,candidate,wheels_tires,EDITORIAL_CORE_2026,high
rim diameter,посадочный диаметр обода,candidate,wheels_tires,EDITORIAL_CORE_2026,high
bolt pattern,схема расположения крепёжных отверстий,candidate,wheels_tires,EDITORIAL_CORE_2026,medium
pitch circle diameter,диаметр расположения крепёжных отверстий,candidate,wheels_tires,EDITORIAL_CORE_2026,high
hub bore,диаметр центрального отверстия,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel runout,биение колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
radial runout,радиальное биение,candidate,wheels_tires,EDITORIAL_CORE_2026,high
lateral runout,осевое биение,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel imbalance,дисбаланс колеса,candidate,wheels_tires,EDITORIAL_CORE_2026,high
static imbalance,статический дисбаланс,candidate,wheels_tires,EDITORIAL_CORE_2026,high
dynamic imbalance,динамический дисбаланс,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel balance weight,балансировочный груз,candidate,wheels_tires,EDITORIAL_CORE_2026,high
clip-on weight,набивной балансировочный груз,candidate,wheels_tires,EDITORIAL_CORE_2026,medium
adhesive weight,самоклеящийся балансировочный груз,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel balancer,балансировочный станок,candidate,wheels_tires,EDITORIAL_CORE_2026,high
wheel alignment,регулировка углов установки колёс,candidate,wheels_tires,EDITORIAL_CORE_2026,high
tire,шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
radial tire,радиальная шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
tubeless tire,бескамерная шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
run-flat tire,шина с возможностью движения при потере давления,candidate,wheels_tires,EDITORIAL_CORE_2026,medium
winter tire,зимняя шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
summer tire,летняя шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
all-season tire,всесезонная шина,candidate,wheels_tires,EDITORIAL_CORE_2026,high
