source,target_preferred,status
A-pillar,передняя стойка кузова,candidate
A-pillar inner panel assembly,внутренняя панель стойки A в сборе,candidate
A-pillar trim,облицовка передней стойки,candidate
A-pillar upper trim panel,верхняя облицовка стойки A,candidate
abnormal door opening,несанкционированное открывание двери,candidate
ABS,ABS,approved
accelerator pedal position,положение педали акселератора,candidate
accessory drive belt,ремень привода вспомогательных агрегатов,candidate
accumulator,аккумулятор,candidate
actuator,исполнительный механизм,candidate
actuator command,команда исполнительному механизму,candidate
adapt,выполнить адаптацию,candidate
adaptive application,адаптивное приложение,candidate
adaptive cruise control,адаптивный круиз-контроль,candidate
adhesion promoter,активатор адгезии,candidate
adhesive,клей,candidate
adhesive weight,самоклеящийся балансировочный груз,candidate
adjust,отрегулировать,candidate
adjust shift cable,отрегулировать трос переключения передач,candidate
adjust the air pressure,отрегулировать давление воздуха,candidate
adjust the seat to a comfortable position,отрегулировать сиденье в удобное положение,candidate
adjust the seat to the highest position,установить сиденье в крайнее верхнее положение,candidate
adjust tire pressure,отрегулировать давление в шинах,candidate
adjustable wrench,разводной ключ,candidate
Adjustment,Регулировка,approved
advanced driver assistance system,усовершенствованная система помощи водителю,candidate
air cleaner housing,корпус воздушного фильтра,candidate
air compressor,воздушный компрессор,candidate
air conditioning compressor,компрессор кондиционера,candidate
air conditioning control panel switch,переключатель панели управления системой кондиционирования,candidate
air dryer,осушитель воздуха,candidate
air filter element,фильтрующий элемент воздушного фильтра,candidate
air gun,пневматический продувочный пистолет,candidate
air inlet duct,воздухозаборный канал,candidate
air leak,утечка воздуха,candidate
air line,пневматическая магистраль,candidate
air lock,воздушная пробка,candidate
air mix actuator,привод заслонки смешивания воздуха,candidate
air outlet duct,выпускной воздуховод,candidate
air reservoir,воздушный ресивер,candidate
air spring,пневматическая рессора,candidate
air suspension,пневматическая подвеска,candidate
air-conditioning drain pipe,дренажная трубка кондиционера,candidate
align,выровнять,candidate
align the balance mark,совместить балансировочную метку,candidate
align the dowel pins,совместить установочные штифты,candidate
align the locating tabs,совместить установочные выступы,candidate
align the marks,совместить метки,candidate
align the matchmarks,совместить монтажные метки,candidate
align the oil holes,совместить масляные отверстия,candidate
align with the mark,совместить с меткой,candidate
all-season tire,всесезонная шина,candidate
allow the engine to cool,дать двигателю остыть,candidate
allow the sealant to cure,дать герметику отвердеть,candidate
allow the welds to cool,дать сварным швам остыть,candidate
allow to cure,выдержать до отверждения,candidate
allow to dry,дать высохнуть,candidate
alloy wheel,легкосплавное колесо,candidate
alternator,генератор,candidate
alternator pulley,шкив генератора,candidate
ambient air temperature,температура окружающего воздуха,candidate
ambient temperature,температура окружающего воздуха,candidate
ambient temperature sensor,датчик температуры наружного воздуха,candidate
anaerobic sealant,анаэробный герметик,candidate
angle gauge,угломер для затяжки,candidate
angular contact bearing,радиально-упорный подшипник,candidate
anti-flutter adhesive,виброгасящий клей,candidate
anti-lock braking system,антиблокировочная система тормозов,candidate
anti-seize compound,противозадирная паста,candidate
anti-theft alarm,противоугонная сигнализация,candidate
anti-theft function,функция противоугонной системы,candidate
application of primer,нанесение грунта,candidate
application software component,прикладной программный компонент,candidate
apply,нанести,candidate
apply a continuous bead,нанести непрерывный валик герметика,candidate
apply a thin coat,нанести тонкий слой,candidate
apply around the circumference,нанести по окружности,candidate
apply bead lubricant,нанести монтажную смазку на борт шины,candidate
apply cavity wax,нанести антикоррозионный состав в скрытые полости,candidate
apply engine oil,нанести моторное масло,candidate
apply evenly,нанести равномерно,candidate
apply gear oil,нанести трансмиссионное масло,candidate
apply grease,нанести консистентную смазку,candidate
apply sealant,нанести герметик,candidate
apply sealant continuously,нанести герметик непрерывным валиком,candidate
apply seam sealer,нанести шовный герметик,candidate
apply structural adhesive,нанести конструкционный клей,candidate
apply threadlocker,нанести фиксатор резьбы,candidate
apply weld-through primer,нанести токопроводящий сварочный грунт,candidate
apron reinforcement,усилитель брызговика,candidate
armrest,подлокотник,candidate
aromatic hydrocarbons,ароматические углеводороды,candidate
aspect ratio,отношение высоты профиля к его ширине,candidate
assemble,собрать,candidate
assemble within the specified time,выполнить сборку в течение установленного времени,candidate
assembly lubricant,монтажная смазка,candidate
assist grip,поручень салона,reviewed
asymmetric tire,шина с асимметричным рисунком протектора,candidate
ATF,ATF,approved
attach,присоединить,candidate
audible warning,звуковое предупреждение,candidate
automated driving system,система автоматизированного вождения,candidate
automated lane keeping system,автоматизированная система удержания в полосе,candidate
automated valet parking,автоматизированная парковка без водителя,candidate
automatic climate control,автоматический климат-контроль,candidate
automatic emergency braking,автоматическое экстренное торможение,candidate
automatic transmission,автоматическая коробка передач,candidate
automotive Ethernet,автомобильный Ethernet,candidate
automotive safety integrity level,уровень полноты безопасности автомобиля,candidate
AUTOSAR Runtime for Adaptive Applications,среда выполнения адаптивных приложений AUTOSAR,candidate
available energy,доступная энергия,candidate
avoid excessive skin contact,избегать длительного контакта с кожей,candidate
avoid overheating the panel,не допускать перегрева панели,candidate
B-pillar,центральная стойка кузова,candidate
B-pillar lower trim panel assembly,нижняя облицовка стойки B в сборе,candidate
B-pillar trim,облицовка средней стойки,candidate
B-pillar upper trim panel assembly,верхняя облицовка стойки B в сборе,candidate
back door glass defrost braid lead repair,ремонт плетёного вывода обогревателя стекла двери багажного отделения,candidate
back door glass defrosting braid lead,плетёный вывод обогревателя стекла двери багажного отделения,candidate
back door harness,жгут проводов двери багажного отделения,candidate
back off,отвернуть,candidate
back panel,задняя панель кузова,candidate
back window opening,проём заднего стекла,candidate
backup ring,опорное кольцо уплотнения,candidate
balance shaft,балансирный вал,candidate
balance shaft chain,цепь привода балансирного вала,candidate
balance the wheel,отбалансировать колесо,candidate
ball bearing,шариковый подшипник,candidate
ball joint,шаровая опора,candidate
