source,target_preferred,status,category,source_id,confidence,source_document,term_type
adaptive cruise control,адаптивный круиз-контроль,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
automatic emergency braking,автоматическое экстренное торможение,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
blind spot detection,контроль слепых зон,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
forward collision warning,предупреждение о фронтальном столкновении,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
lane departure warning,предупреждение о выходе из полосы,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
object classification,классификация объектов,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
parking manoeuvre,парковочный манёвр,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
sensor fusion,комплексирование данных датчиков,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
time to collision,время до столкновения,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
traffic sign recognition,распознавание дорожных знаков,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
vulnerable road user,уязвимый участник дорожного движения,approved,adas,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
align the dowel pins,совместить установочные штифты,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
align the locating tabs,совместить установочные выступы,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
align the oil holes,совместить масляные отверстия,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
clearance fit,посадка с зазором,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
do not damage the sealing lip,не повредить рабочую кромку манжеты,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
install flush,установить заподлицо,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
install squarely,установить без перекоса,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
install with the lip facing inward,установить рабочей кромкой внутрь,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
install with the spring side inward,установить стороной с пружиной внутрь,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
lubricate the sealing lip,смазать рабочую кромку манжеты,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
mating surface,сопрягаемая поверхность,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
observe the installation direction,соблюдать направление установки,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
press in,запрессовать,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
press out,выпрессовать,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
press-fit,посадка с натягом,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,term
protect the sealing lip,защитить рабочую кромку манжеты,approved,assembly,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,procedure
brake band,тормозная лента,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
clutch pack,пакет фрикционов,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
control valve body,блок гидравлических клапанов,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
friction plate,фрикционный диск,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
line pressure,магистральное давление,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,parameter
planet carrier,водило,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
planet gear,сателлит,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
planetary gear set,планетарный ряд,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,assembly
pressure control solenoid,электромагнитный клапан регулирования давления,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
shift solenoid,электромагнитный клапан переключения передач,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
sun gear,солнечная шестерня,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
torque converter housing,корпус гидротрансформатора,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
torque converter lock-up clutch,блокировочная муфта гидротрансформатора,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
transmission fluid temperature sensor,датчик температуры рабочей жидкости коробки передач,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
transmission oil cooler,охладитель рабочей жидкости коробки передач,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
transmission range sensor,датчик диапазона коробки передач,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
turbine wheel,турбинное колесо гидротрансформатора,approved,automatic_transmission,EDITORIAL_APPROVAL_2026_08,high,EDITORIAL_APPROVAL_2026_08,component
