source,selected_target,alternate_target,selected_status,selected_source,alternate_source,resolution
accumulator,гидроаккумулятор,аккумулятор хладагента,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
assist grip,поручень салона,поручень,candidate,N155_CORPUS | EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
bearing puller,съёмник подшипников,съёмник подшипника,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
bleed screw,винт для удаления воздуха,штуцер для удаления воздуха,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
body gateway module,шлюзовой модуль кузовной электроники,центральный шлюзовой модуль кузовной электроники,candidate,N155_CORPUS,N155_CORPUS,manual_review_required
brake booster,усилитель тормозов,вакуумный усилитель тормозов,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
check for leakage,проверить на отсутствие утечек,проверить на наличие утечек,candidate,EDITORIAL_CORE_2026 | N165_CORPUS,N165_CORPUS,manual_review_required
clutch release bearing,подшипник выключения сцепления,выжимной подшипник сцепления,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
crankpin,шатунная шейка коленчатого вала,шатунная шейка,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
cylinder bore,цилиндрическое отверстие блока,диаметр цилиндра,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
diesel particulate filter,сажевый фильтр дизельного двигателя,сажевый фильтр,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
do not reuse,повторно не использовать,не использовать повторно,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
drill out the spot welds,высверлить точки контактной сварки,высверлить сварные точки,candidate,N165_D2 | EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
front compartment harness assembly,жгут проводов переднего отсека в сборе,жгут проводов моторного отсека в сборе,candidate,N155_CORPUS,N155_CORPUS,manual_review_required
fuel pump module,модуль топливного насоса,топливный модуль,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
fuel return line,топливопровод обратной подачи,топливный сливной трубопровод,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
fuel supply line,топливопровод подачи,магистраль подачи топлива,candidate,EDITORIAL_CORE_2026 | N165_CORPUS,N165_CORPUS,manual_review_required
grind,шлифовать,зачистить,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
hydraulic lash adjuster,гидрокомпенсатор зазора клапана,гидрокомпенсатор зазора,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
inspect,проверить,осмотреть,candidate,EDITORIAL_CORE_2026,EDITORIAL_CORE_2026,manual_review_required
