source,target_preferred,status,category,source_id,confidence
battery electric vehicle,аккумуляторный электромобиль,candidate,ev,UNECE_EV_GUIDE,medium
hybrid electric vehicle,гибридный электромобиль,candidate,ev,UNECE_EV_GUIDE,medium
plug-in hybrid electric vehicle,подключаемый гибридный электромобиль,candidate,ev,UNECE_EV_GUIDE,medium
fuel cell vehicle,автомобиль на топливных элементах,candidate,ev,UNECE_EV_GUIDE,medium
extended-range electric vehicle,электромобиль с увеличенным запасом хода,candidate,ev,COVESA_VSS_6,medium
rechargeable energy storage system,перезаряжаемая система накопления энергии,candidate,ev,UNECE_EV_GUIDE,medium
traction battery,тяговая аккумуляторная батарея,candidate,ev,UNECE_EV_GUIDE,medium
battery management system,система управления аккумуляторной батареей,candidate,ev,COVESA_VSS_6,medium
state of charge,степень заряженности,candidate,ev,COVESA_VSS_6,medium
state of health,степень технического состояния батареи,candidate,ev,COVESA_VSS_6,medium
high-voltage battery,высоковольтная аккумуляторная батарея,candidate,ev,COVESA_VSS_6,medium
high-voltage interlock loop,контур блокировки высоковольтной цепи,candidate,ev,UNECE_EV_GUIDE,medium
electric drive unit,электрический приводной агрегат,candidate,ev,COVESA_VSS_6,medium
electric machine,электрическая машина,candidate,ev,ISO_TC22,medium
traction inverter,тяговый инвертор,candidate,ev,COVESA_VSS_6,medium
DC/DC converter,преобразователь постоянного тока,candidate,ev,ISO_TC22,medium
on-board charger,бортовое зарядное устройство,candidate,charging,ISO_TC22,medium
electric vehicle supply equipment,оборудование питания электромобиля,candidate,charging,ISO_TC22,medium
electric vehicle communication controller,контроллер связи электромобиля,candidate,charging,ISO_TC22,medium
supply equipment communication controller,контроллер связи зарядного оборудования,candidate,charging,ISO_TC22,medium
conductive charging,контактная зарядка,candidate,charging,ISO_TC22,medium
wireless power transfer,беспроводная передача энергии,candidate,charging,ISO_TC22,medium
vehicle-to-grid,обмен энергией между автомобилем и электросетью,candidate,charging,ISO_TC22,medium
vehicle-to-home,питание дома от автомобиля,candidate,charging,ISO_TC22,medium
regenerative braking,рекуперативное торможение,candidate,ev,COVESA_VSS_6,medium
thermal runaway,тепловой разгон,candidate,ev_safety,UNECE_EV_GUIDE,medium
isolation resistance,сопротивление изоляции,candidate,ev_safety,UNECE_EV_GUIDE,medium
maximum working voltage,максимальное рабочее напряжение,candidate,ev_safety,UNECE_EV_GUIDE,medium
advanced driver assistance system,усовершенствованная система помощи водителю,candidate,adas,UNECE_ADS,medium
automated driving system,система автоматизированного вождения,candidate,automated_driving,UNECE_ADS,medium
