source,target_preferred,status
accessory drive belt,ремень привода вспомогательных агрегатов,candidate
adhesion promoter,активатор адгезии,candidate
adhesive,клей,candidate
adhesive weight,самоклеящийся балансировочный груз,candidate
adjust the seat to the highest position,установить сиденье в крайнее верхнее положение,candidate
adjust tire pressure,отрегулировать давление в шинах,candidate
adjustable wrench,разводной ключ,candidate
air compressor,воздушный компрессор,candidate
air dryer,осушитель воздуха,candidate
air gun,пневматический продувочный пистолет,candidate
air leak,утечка воздуха,candidate
air line,пневматическая магистраль,candidate
air lock,воздушная пробка,candidate
air reservoir,воздушный ресивер,candidate
air spring,пневматическая рессора,candidate
air suspension,пневматическая подвеска,candidate
align the balance mark,совместить балансировочную метку,candidate
align the dowel pins,совместить установочные штифты,candidate
align the locating tabs,совместить установочные выступы,candidate
align the oil holes,совместить масляные отверстия,candidate
all-season tire,всесезонная шина,candidate
allow the engine to cool,дать двигателю остыть,candidate
alloy wheel,легкосплавное колесо,candidate
anaerobic sealant,анаэробный герметик,candidate
angle gauge,угломер для затяжки,candidate
angular contact bearing,радиально-упорный подшипник,candidate
anti-flutter adhesive,виброгасящий клей,candidate
anti-lock braking system,антиблокировочная система тормозов,candidate
anti-seize compound,противозадирная паста,candidate
apply bead lubricant,нанести монтажную смазку на борт шины,candidate
apply engine oil,нанести моторное масло,candidate
aspect ratio,отношение высоты профиля к его ширине,candidate
assembly lubricant,монтажная смазка,candidate
asymmetric tire,шина с асимметричным рисунком протектора,candidate
automatic transmission,автоматическая коробка передач,candidate
balance shaft,балансирный вал,candidate
balance shaft chain,цепь привода балансирного вала,candidate
balance the wheel,отбалансировать колесо,candidate
ball bearing,шариковый подшипник,candidate
ball joint,шаровая опора,candidate
ball joint separator,съёмник шаровых шарниров,candidate
banjo bolt,полый болт,candidate
banjo fitting,штуцер типа банджо,candidate
baulk ring,блокирующее кольцо синхронизатора,candidate
bead breaker,устройство отрыва борта шины,candidate
bead lubricant,монтажная смазка для борта шины,candidate
bead seat,посадочная полка обода,candidate
bead wire,бортовое кольцо шины,candidate
bearing cage,сепаратор подшипника,candidate
bearing clearance,зазор в подшипнике,candidate
bearing driver,оправка для установки подшипника,candidate
bearing end play,осевой люфт подшипника,candidate
bearing inner race,внутреннее кольцо подшипника,candidate
bearing outer race,наружное кольцо подшипника,candidate
bearing preload,предварительный натяг подшипника,candidate
bearing puller,съёмник подшипников,reviewed
bearing seat,посадочное место подшипника,candidate
bearing seizure,заклинивание подшипника,candidate
bell housing,картер сцепления,candidate
belt package,брекерный пояс,candidate
belt separation,расслоение брекера,candidate
belt tensioner,натяжитель ремня,candidate
bench vise,слесарные тиски,candidate
bladder accumulator,баллонный гидроаккумулятор,candidate
bleed nipple,штуцер для удаления воздуха,candidate
bleed screw,штуцер для удаления воздуха,reviewed
bleed the brakes,удалить воздух из тормозной системы,candidate
bleed the cooling system,удалить воздух из системы охлаждения,candidate
bleed the hydraulic system,удалить воздух из гидравлической системы,candidate
bleeder screw,штуцер для удаления воздуха,candidate
body filler,кузовная шпатлёвка,candidate
boiling point,температура кипения,candidate
bolt,болт,candidate
bolt pattern,схема расположения крепёжных отверстий,candidate
boost pressure sensor,датчик давления наддува,candidate
boot clamp,хомут защитного чехла,candidate
bore wear,износ цилиндра,candidate
box-end wrench,накидной ключ,candidate
brake band,тормозная лента,candidate
brake booster,вакуумный усилитель тормозов,reviewed
brake booster check valve,обратный клапан усилителя тормозов,candidate
brake caliper,тормозной суппорт,candidate
brake cleaner,очиститель тормозов,candidate
brake control module,блок управления тормозной системой,candidate
brake disc,тормозной диск,candidate
brake disc thickness,толщина тормозного диска,candidate
brake drum,тормозной барабан,candidate
brake fluid level,уровень тормозной жидкости,candidate
brake fluid reservoir,бачок тормозной жидкости,candidate
brake grease,смазка для тормозных механизмов,candidate
brake hose,тормозной шланг,candidate
brake master cylinder,главный тормозной цилиндр,candidate
brake pad,тормозная колодка,candidate
brake pad shim,противошумная пластина тормозной колодки,candidate
brake pad wear indicator,индикатор износа тормозной колодки,candidate
brake pedal,педаль тормоза,candidate
brake pedal free play,свободный ход педали тормоза,candidate
brake pedal travel,ход педали тормоза,candidate
brake pipe,тормозная трубка,candidate
brake pressure sensor,датчик давления в тормозной системе,candidate
brake shoe,тормозная колодка барабанного тормоза,candidate
brass drift,латунная выколотка,candidate
break the bead,отделить борт шины от обода,candidate
breaker bar,вороток,candidate
brushable seam sealer,кистевой шовный герметик,candidate
bump stop,буфер хода сжатия,candidate
bushing,втулка,candidate
bypass passage,обводной канал,candidate
cage nut,закладная гайка,candidate
calibrate steering angle sensor,откалибровать датчик угла поворота рулевого колеса,candidate
caliper bracket,скоба тормозного суппорта,candidate
caliper guide pin,направляющий палец суппорта,candidate
caliper piston,поршень тормозного суппорта,candidate
camber angle,угол развала колеса,candidate
camshaft,распределительный вал,candidate
camshaft bearing cap,крышка подшипника распределительного вала,candidate
camshaft end play,осевой зазор распределительного вала,candidate
camshaft lobe,кулачок распределительного вала,candidate
camshaft oil seal,сальник распределительного вала,candidate
camshaft phaser,фазорегулятор распределительного вала,candidate
camshaft position sensor,датчик положения распределительного вала,candidate
carcass,каркас шины,candidate
caster angle,угол продольного наклона оси поворота,candidate
castle nut,корончатая гайка,candidate
cavitation,кавитация,candidate
cavity wax,антикоррозионный состав для скрытых полостей,candidate
center bearing,промежуточная опора карданного вала,candidate
center cap,центральный колпачок колеса,candidate
center differential,межосевой дифференциал,candidate
center punch,кернер,candidate
center the steering wheel,установить рулевое колесо в среднее положение,candidate
