source,target_preferred,status,category,source_id,confidence
cylinder block,блок цилиндров,candidate,engine,EDITORIAL_CORE_2026,high
cylinder head,головка блока цилиндров,candidate,engine,EDITORIAL_CORE_2026,high
cylinder head gasket,прокладка головки блока цилиндров,candidate,engine,EDITORIAL_CORE_2026,high
combustion chamber,камера сгорания,candidate,engine,EDITORIAL_CORE_2026,high
crankshaft,коленчатый вал,candidate,engine,EDITORIAL_CORE_2026,high
camshaft,распределительный вал,candidate,engine,EDITORIAL_CORE_2026,high
connecting rod,шатун,candidate,engine,EDITORIAL_CORE_2026,high
piston ring,поршневое кольцо,candidate,engine,EDITORIAL_CORE_2026,high
intake valve,впускной клапан,candidate,engine,EDITORIAL_CORE_2026,high
exhaust valve,выпускной клапан,candidate,engine,EDITORIAL_CORE_2026,high
valve clearance,зазор в клапанном механизме,candidate,engine,EDITORIAL_CORE_2026,medium
valve stem seal,маслосъёмный колпачок,candidate,engine,EDITORIAL_CORE_2026,medium
timing chain,цепь привода газораспределительного механизма,candidate,engine,EDITORIAL_CORE_2026,medium
timing belt,ремень привода газораспределительного механизма,candidate,engine,EDITORIAL_CORE_2026,medium
intake manifold,впускной коллектор,candidate,engine,EDITORIAL_CORE_2026,high
exhaust manifold,выпускной коллектор,candidate,engine,EDITORIAL_CORE_2026,high
engine oil sump,масляный поддон двигателя,candidate,engine,EDITORIAL_CORE_2026,high
oil pump,масляный насос,candidate,engine,EDITORIAL_CORE_2026,high
oil pressure relief valve,редукционный клапан давления масла,candidate,engine,EDITORIAL_CORE_2026,medium
engine coolant,охлаждающая жидкость двигателя,candidate,cooling,EDITORIAL_CORE_2026,high
coolant pump,насос охлаждающей жидкости,candidate,cooling,EDITORIAL_CORE_2026,high
radiator fan,вентилятор радиатора,candidate,cooling,EDITORIAL_CORE_2026,high
thermostat housing,корпус термостата,candidate,cooling,EDITORIAL_CORE_2026,high
expansion tank,расширительный бачок,candidate,cooling,EDITORIAL_CORE_2026,high
