source,target_preferred,status,category,source_id,confidence,source_document,term_type,note
seat adjustment system,система регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,system,
seat adjustment system principle,принцип работы системы регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,concept,
seat heating control module,модуль управления обогревом сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,module,
driver seat module,модуль сиденья водителя,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,module,
power seat switch panel,панель переключателей электрорегулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
outboard seat adjustment switch,наружный переключатель регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat adjustment switch signal,сигнал переключателя регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,signal,
seat motor,электродвигатель регулировки сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
motor position,положение электродвигателя,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,parameter,
seat memory function,функция памяти положения сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
memory position,запомненное положение сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,parameter,
preset position,предустановленное положение,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,parameter,
six-way adjustment,шестипозиционная регулировка,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
lumbar support,поясничная поддержка,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
thigh support,поддержка бёдер,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
seat ventilation,вентиляция сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
seat heating,обогрев сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
seat heating request signal,сигнал запроса обогрева сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,signal,
seat heating wire,нагревательный элемент сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,component,
seat heating temperature,температура обогрева сиденья,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,parameter,
seat memory adjustment,регулировка положения сиденья по памяти,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,function,
display host unit,головное устройство дисплея,candidate,interior.seat,N155_D2_CORPUS,high,N155_CORPUS,module,
