source,target_preferred,status,category,source_id,confidence
bolt,болт,candidate,fasteners,EDITORIAL_CORE_2026,high
flange bolt,фланцевый болт,candidate,fasteners,EDITORIAL_CORE_2026,high
shoulder bolt,болт с буртиком,candidate,fasteners,EDITORIAL_CORE_2026,medium
banjo bolt,полый болт,candidate,fasteners,EDITORIAL_CORE_2026,medium
wheel bolt,колёсный болт,candidate,fasteners,EDITORIAL_CORE_2026,high
hub bolt,болт ступицы,candidate,fasteners,EDITORIAL_CORE_2026,medium
screw,винт,candidate,fasteners,EDITORIAL_CORE_2026,high
self-tapping screw,самонарезающий винт,candidate,fasteners,EDITORIAL_CORE_2026,high
machine screw,машинный винт,candidate,fasteners,EDITORIAL_CORE_2026,medium
set screw,установочный винт,candidate,fasteners,EDITORIAL_CORE_2026,high
bleed screw,штуцер для удаления воздуха,candidate,fasteners,EDITORIAL_CORE_2026,medium
nut,гайка,candidate,fasteners,EDITORIAL_CORE_2026,high
flange nut,фланцевая гайка,candidate,fasteners,EDITORIAL_CORE_2026,high
self-locking nut,самоконтрящаяся гайка,candidate,fasteners,EDITORIAL_CORE_2026,high
castle nut,корончатая гайка,candidate,fasteners,EDITORIAL_CORE_2026,high
locknut,контргайка,candidate,fasteners,EDITORIAL_CORE_2026,high
wheel nut,колёсная гайка,candidate,fasteners,EDITORIAL_CORE_2026,high
washer,шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
flat washer,плоская шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
spring washer,пружинная шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
lock washer,стопорная шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
wave washer,волнистая шайба,candidate,fasteners,EDITORIAL_CORE_2026,medium
thrust washer,упорная шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
shim,регулировочная шайба,candidate,fasteners,EDITORIAL_CORE_2026,high
spacer,проставка,candidate,fasteners,EDITORIAL_CORE_2026,medium
sleeve,втулка,candidate,fasteners,EDITORIAL_CORE_2026,medium
bushing,втулка,candidate,fasteners,EDITORIAL_CORE_2026,medium
stud,шпилька,candidate,fasteners,EDITORIAL_CORE_2026,high
dowel pin,установочный штифт,candidate,fasteners,EDITORIAL_CORE_2026,high
spring pin,пружинный штифт,candidate,fasteners,EDITORIAL_CORE_2026,high
cotter pin,шплинт,candidate,fasteners,EDITORIAL_CORE_2026,high
split pin,шплинт,candidate,fasteners,EDITORIAL_CORE_2026,high
clevis pin,палец вилки,candidate,fasteners,EDITORIAL_CORE_2026,medium
snap ring,стопорное кольцо,candidate,fasteners,EDITORIAL_CORE_2026,high
circlip,стопорное кольцо,candidate,fasteners,EDITORIAL_CORE_2026,high
retaining ring,стопорное кольцо,candidate,fasteners,EDITORIAL_CORE_2026,high
external retaining ring,наружное стопорное кольцо,candidate,fasteners,EDITORIAL_CORE_2026,high
internal retaining ring,внутреннее стопорное кольцо,candidate,fasteners,EDITORIAL_CORE_2026,high
clip,зажим,candidate,fasteners,EDITORIAL_CORE_2026,medium
retaining clip,фиксирующий зажим,candidate,fasteners,EDITORIAL_CORE_2026,high
spring clip,пружинный зажим,candidate,fasteners,EDITORIAL_CORE_2026,high
wire clip,проволочный фиксатор,candidate,fasteners,EDITORIAL_CORE_2026,medium
push pin,пистон,candidate,fasteners,EDITORIAL_CORE_2026,medium
push-type retainer,нажимной фиксатор,candidate,fasteners,EDITORIAL_CORE_2026,medium
trim clip,фиксатор облицовки,candidate,fasteners,EDITORIAL_CORE_2026,high
rivet,заклёпка,candidate,fasteners,EDITORIAL_CORE_2026,high
blind rivet,вытяжная заклёпка,candidate,fasteners,EDITORIAL_CORE_2026,high
self-piercing rivet,самопроникающая заклёпка,candidate,fasteners,EDITORIAL_CORE_2026,medium
threaded insert,резьбовая вставка,candidate,fasteners,EDITORIAL_CORE_2026,high
rivnut,заклёпочная гайка,candidate,fasteners,EDITORIAL_CORE_2026,medium
cage nut,закладная гайка,candidate,fasteners,EDITORIAL_CORE_2026,medium
thread pitch,шаг резьбы,candidate,fasteners,EDITORIAL_CORE_2026,high
thread engagement,длина зацепления резьбы,candidate,fasteners,EDITORIAL_CORE_2026,medium
tightening torque,момент затяжки,candidate,fasteners,EDITORIAL_CORE_2026,high
torque-to-yield bolt,болт с контролируемой пластической деформацией,candidate,fasteners,EDITORIAL_CORE_2026,medium
replace after removal,заменить после снятия,candidate,fasteners,EDITORIAL_CORE_2026,high
do not reuse,не использовать повторно,candidate,fasteners,EDITORIAL_CORE_2026,high
torque wrench,динамометрический ключ,candidate,tools,EDITORIAL_CORE_2026,high
angle gauge,угломер для затяжки,candidate,tools,EDITORIAL_CORE_2026,medium
socket wrench,торцовый ключ,candidate,tools,EDITORIAL_CORE_2026,high
socket,торцовая головка,candidate,tools,EDITORIAL_CORE_2026,high
deep socket,удлинённая торцовая головка,candidate,tools,EDITORIAL_CORE_2026,high
impact socket,ударная торцовая головка,candidate,tools,EDITORIAL_CORE_2026,high
ratchet handle,трещоточная рукоятка,candidate,tools,EDITORIAL_CORE_2026,high
