source,target_preferred,status,category,source_id,confidence
engine assembly,двигатель в сборе,candidate,engine,EDITORIAL_CORE_2026,high
short block,блок цилиндров в сборе с кривошипно-шатунным механизмом,candidate,engine,EDITORIAL_CORE_2026,medium
long block,двигатель без навесного оборудования,candidate,engine,EDITORIAL_CORE_2026,medium
cylinder liner,гильза цилиндра,candidate,engine,EDITORIAL_CORE_2026,high
main bearing cap,крышка коренного подшипника,candidate,engine,EDITORIAL_CORE_2026,high
main bearing,коренной подшипник,candidate,engine,EDITORIAL_CORE_2026,high
connecting rod bearing,шатунный подшипник,candidate,engine,EDITORIAL_CORE_2026,high
crankshaft journal,шейка коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
crankshaft main journal,коренная шейка коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
crankpin,шатунная шейка коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
crankshaft thrust washer,упорная шайба коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
crankshaft end play,осевой зазор коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
flywheel,маховик,candidate,engine,EDITORIAL_CORE_2026,high
flexplate,ведущий диск гидротрансформатора,candidate,engine,EDITORIAL_CORE_2026,medium
ring gear,зубчатый венец маховика,candidate,engine,EDITORIAL_CORE_2026,medium
piston,поршень,candidate,engine,EDITORIAL_CORE_2026,high
piston pin,поршневой палец,candidate,engine,EDITORIAL_CORE_2026,high
piston crown,днище поршня,candidate,engine,EDITORIAL_CORE_2026,high
piston skirt,юбка поршня,candidate,engine,EDITORIAL_CORE_2026,high
compression ring,компрессионное кольцо,candidate,engine,EDITORIAL_CORE_2026,high
oil control ring,маслосъёмное кольцо,candidate,engine,EDITORIAL_CORE_2026,high
ring groove,канавка поршневого кольца,candidate,engine,EDITORIAL_CORE_2026,high
cylinder bore,диаметр цилиндра,candidate,engine,EDITORIAL_CORE_2026,medium
bore wear,износ цилиндра,candidate,engine,EDITORIAL_CORE_2026,medium
cylinder taper,конусность цилиндра,candidate,engine,EDITORIAL_CORE_2026,high
cylinder out-of-round,овальность цилиндра,candidate,engine,EDITORIAL_CORE_2026,high
compression ratio,степень сжатия,candidate,engine,EDITORIAL_CORE_2026,high
compression pressure,давление сжатия,candidate,engine,EDITORIAL_CORE_2026,high
leak-down test,проверка герметичности цилиндра,candidate,engine,EDITORIAL_CORE_2026,medium
valve train,клапанный механизм,candidate,engine,EDITORIAL_CORE_2026,high
rocker arm,коромысло клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve lifter,толкатель клапана,candidate,engine,EDITORIAL_CORE_2026,high
hydraulic lash adjuster,гидрокомпенсатор зазора клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve spring,пружина клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve spring retainer,тарелка пружины клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve collet,сухарь клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve guide,направляющая втулка клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve seat,седло клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve face,рабочая фаска клапана,candidate,engine,EDITORIAL_CORE_2026,high
valve stem,стержень клапана,candidate,engine,EDITORIAL_CORE_2026,high
camshaft bearing cap,крышка подшипника распределительного вала,candidate,engine,EDITORIAL_CORE_2026,high
camshaft lobe,кулачок распределительного вала,candidate,engine,EDITORIAL_CORE_2026,high
camshaft end play,осевой зазор распределительного вала,candidate,engine,EDITORIAL_CORE_2026,high
camshaft position sensor,датчик положения распределительного вала,candidate,engine_electronics,EDITORIAL_CORE_2026,high
crankshaft position sensor,датчик положения коленчатого вала,candidate,engine_electronics,EDITORIAL_CORE_2026,high
variable valve timing,система изменения фаз газораспределения,candidate,engine,EDITORIAL_CORE_2026,high
camshaft phaser,фазорегулятор распределительного вала,candidate,engine,EDITORIAL_CORE_2026,medium
variable valve timing solenoid,электромагнитный клапан системы изменения фаз газораспределения,candidate,engine,EDITORIAL_CORE_2026,high
timing chain guide,направляющая цепи привода ГРМ,candidate,engine,EDITORIAL_CORE_2026,high
timing chain tensioner,натяжитель цепи привода ГРМ,candidate,engine,EDITORIAL_CORE_2026,high
timing belt tensioner,натяжитель ремня привода ГРМ,candidate,engine,EDITORIAL_CORE_2026,high
timing sprocket,звёздочка привода ГРМ,candidate,engine,EDITORIAL_CORE_2026,high
timing mark,установочная метка фаз газораспределения,candidate,engine,EDITORIAL_CORE_2026,medium
front crankshaft seal,передний сальник коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
rear crankshaft seal,задний сальник коленчатого вала,candidate,engine,EDITORIAL_CORE_2026,high
camshaft oil seal,сальник распределительного вала,candidate,engine,EDITORIAL_CORE_2026,high
engine mount,опора двигателя,candidate,engine,EDITORIAL_CORE_2026,high
engine mounting bracket,кронштейн опоры двигателя,candidate,engine,EDITORIAL_CORE_2026,high
balance shaft,балансирный вал,candidate,engine,EDITORIAL_CORE_2026,high
balance shaft chain,цепь привода балансирного вала,candidate,engine,EDITORIAL_CORE_2026,high
oil pickup tube,маслоприёмник,candidate,lubrication,EDITORIAL_CORE_2026,high
oil strainer,сетчатый фильтр маслоприёмника,candidate,lubrication,EDITORIAL_CORE_2026,medium
oil gallery,масляный канал,candidate,lubrication,EDITORIAL_CORE_2026,high
oil filter housing,корпус масляного фильтра,candidate,lubrication,EDITORIAL_CORE_2026,high
oil cooler,масляный радиатор,candidate,lubrication,EDITORIAL_CORE_2026,high
oil pressure switch,датчик-сигнализатор давления масла,candidate,lubrication,EDITORIAL_CORE_2026,medium
oil pressure sensor,датчик давления масла,candidate,lubrication,EDITORIAL_CORE_2026,high
positive crankcase ventilation valve,клапан системы вентиляции картера,candidate,emissions,EDITORIAL_CORE_2026,high
crankcase ventilation hose,шланг вентиляции картера,candidate,emissions,EDITORIAL_CORE_2026,high
intake air duct,воздуховод впускной системы,candidate,intake,EDITORIAL_CORE_2026,high
air cleaner housing,корпус воздушного фильтра,candidate,intake,EDITORIAL_CORE_2026,high
air filter element,фильтрующий элемент воздушного фильтра,candidate,intake,EDITORIAL_CORE_2026,high
throttle body,дроссельный узел,candidate,intake,EDITORIAL_CORE_2026,high
throttle valve,дроссельная заслонка,candidate,intake,EDITORIAL_CORE_2026,high
throttle position sensor,датчик положения дроссельной заслонки,candidate,engine_electronics,EDITORIAL_CORE_2026,high
mass air flow sensor,датчик массового расхода воздуха,candidate,engine_electronics,EDITORIAL_CORE_2026,high
