source,target_preferred,status,category,source_id,confidence
heating ventilation and air conditioning,система отопления вентиляции и кондиционирования,candidate,hvac,EDITORIAL_CORE_2026,high
heater unit,блок отопителя,candidate,hvac,EDITORIAL_CORE_2026,high
heater core,радиатор отопителя,candidate,hvac,EDITORIAL_CORE_2026,high
blower motor,электродвигатель вентилятора отопителя,candidate,hvac,EDITORIAL_CORE_2026,high
blower wheel,крыльчатка вентилятора отопителя,candidate,hvac,EDITORIAL_CORE_2026,high
blower motor resistor,резистор электродвигателя вентилятора,candidate,hvac,EDITORIAL_CORE_2026,high
blower control module,блок управления вентилятором,candidate,hvac,EDITORIAL_CORE_2026,high
air inlet duct,воздухозаборный канал,candidate,hvac,EDITORIAL_CORE_2026,high
air outlet duct,выпускной воздуховод,candidate,hvac,EDITORIAL_CORE_2026,high
floor duct,напольный воздуховод,candidate,hvac,EDITORIAL_CORE_2026,high
defroster duct,воздуховод обдува ветрового стекла,candidate,hvac,EDITORIAL_CORE_2026,high
center vent,центральный дефлектор,candidate,hvac,EDITORIAL_CORE_2026,high
side vent,боковой дефлектор,candidate,hvac,EDITORIAL_CORE_2026,high
blend door,заслонка смешивания воздуха,candidate,hvac,EDITORIAL_CORE_2026,high
mode door,заслонка распределения потоков воздуха,candidate,hvac,EDITORIAL_CORE_2026,high
recirculation door,заслонка рециркуляции,candidate,hvac,EDITORIAL_CORE_2026,high
air mix actuator,привод заслонки смешивания воздуха,candidate,hvac,EDITORIAL_CORE_2026,high
mode door actuator,привод заслонки распределения потоков,candidate,hvac,EDITORIAL_CORE_2026,high
recirculation actuator,привод заслонки рециркуляции,candidate,hvac,EDITORIAL_CORE_2026,high
cabin air filter,салонный фильтр,candidate,hvac,EDITORIAL_CORE_2026,high
filter housing,корпус фильтра,candidate,hvac,EDITORIAL_CORE_2026,high
air conditioning compressor,компрессор кондиционера,candidate,hvac,EDITORIAL_CORE_2026,high
compressor clutch,муфта компрессора кондиционера,candidate,hvac,EDITORIAL_CORE_2026,high
compressor control valve,регулирующий клапан компрессора,candidate,hvac,EDITORIAL_CORE_2026,high
condenser,конденсор,candidate,hvac,EDITORIAL_CORE_2026,high
evaporator,испаритель,candidate,hvac,EDITORIAL_CORE_2026,high
receiver drier,ресивер-осушитель,candidate,hvac,EDITORIAL_CORE_2026,high
accumulator,аккумулятор хладагента,candidate,hvac,EDITORIAL_CORE_2026,medium
expansion valve,терморегулирующий вентиль,candidate,hvac,EDITORIAL_CORE_2026,high
orifice tube,дроссельная трубка,candidate,hvac,EDITORIAL_CORE_2026,high
refrigerant line,трубопровод хладагента,candidate,hvac,EDITORIAL_CORE_2026,high
high-pressure line,магистраль высокого давления,candidate,hvac,EDITORIAL_CORE_2026,high
low-pressure line,магистраль низкого давления,candidate,hvac,EDITORIAL_CORE_2026,high
service port,сервисный штуцер,candidate,hvac,EDITORIAL_CORE_2026,high
refrigerant pressure sensor,датчик давления хладагента,candidate,hvac,EDITORIAL_CORE_2026,high
evaporator temperature sensor,датчик температуры испарителя,candidate,hvac,EDITORIAL_CORE_2026,high
ambient temperature sensor,датчик температуры наружного воздуха,candidate,hvac,EDITORIAL_CORE_2026,high
in-vehicle temperature sensor,датчик температуры воздуха в салоне,candidate,hvac,EDITORIAL_CORE_2026,high
sunload sensor,датчик солнечной радиации,candidate,hvac,EDITORIAL_CORE_2026,high
humidity sensor,датчик влажности,candidate,hvac,EDITORIAL_CORE_2026,high
automatic climate control,автоматический климат-контроль,candidate,hvac,EDITORIAL_CORE_2026,high
dual-zone climate control,двухзонный климат-контроль,candidate,hvac,EDITORIAL_CORE_2026,high
rear climate control,задняя климатическая установка,candidate,hvac,EDITORIAL_CORE_2026,high
defrost mode,режим обдува ветрового стекла,candidate,hvac,EDITORIAL_CORE_2026,high
defogging,устранение запотевания,candidate,hvac,EDITORIAL_CORE_2026,high
refrigerant charge,заправочная масса хладагента,candidate,hvac,EDITORIAL_CORE_2026,high
refrigerant recovery,откачка хладагента,candidate,hvac,EDITORIAL_CORE_2026,high
system evacuation,вакуумирование системы,candidate,hvac,EDITORIAL_CORE_2026,high
leak detection,поиск утечек,candidate,hvac,EDITORIAL_CORE_2026,high
fluorescent dye,флуоресцентный краситель,candidate,hvac,EDITORIAL_CORE_2026,high
check cooling performance,проверить эффективность охлаждения,candidate,service,EDITORIAL_CORE_2026,high
recover the refrigerant,откачать хладагент,candidate,service,EDITORIAL_CORE_2026,high
evacuate the system,вакуумировать систему,candidate,service,EDITORIAL_CORE_2026,high
